ANP;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;PROCEDENCIA;EDAD;FECHA;VISITAS_E1;VISITAS_E2A3;VISITAS_E3A30;FECHA_CORTE
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;30/09/2022;157;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/10/2022;266;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;30/11/2022;248;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/12/2022;165;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/01/2023;275;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;28/02/2023;284;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/03/2023;52;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/07/2023;68;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/08/2023;197;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;30/09/2023;181;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/10/2023;120;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;30/11/2023;197;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO MAYOR;31/01/2022;31;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO MAYOR;28/02/2022;24;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO MAYOR;31/03/2022;13;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO MAYOR;30/04/2022;24;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO MAYOR;31/05/2022;21;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO MAYOR;30/06/2022;18;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO MAYOR;31/07/2022;37;0;0;27/05/2024
