"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","8/4/2015","52.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","16/4/2015","30.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","22/4/2015","50.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","28/4/2015","43.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","14/5/2015","49.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","21/5/2015","52.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","28/5/2015","40.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","11/6/2015","40.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","18/6/2015","59.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","25/6/2015","42.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","2/7/2015","40.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","9/7/2015","45.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","16/7/2015","36.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","30/7/2015","40.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","6/8/2015","45.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","13/8/2015","50.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","20/8/2015","43.00","2015"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","8/1/2015","43.00","2015"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","22/1/2015","31.00","2015"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","12/2/2015","73.00","2015"
