FECHA_CORTE;ANIO;SECTOR;CATEGORIA;SUBCATEGORIA;FUENTE_DE_EMISION;IPCC_CLASF;DIOXIDO_DE_CARBONO_GGCO2;METANO_GGCH4;METANO_EQUIVALENTE_GGCO2EQ;OXIDO_NITROSO_GGN2O;OXIDO_NITROSO_EQUIVALENTE_GGCO2EQ;HFC_GGCO2EQ;EMISIONES_GEI_GGCO2EQ
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;FUENTES AGREGADAS Y FUENTES DE EMISION NO-CO2 EN LA TIERRA;EMISIONES INDIRECTAS DE N2O DE SUELOS GESTIONADOS;EMISIONES INDIRECTAS DE N2O DE SUELOS GESTIONADOS;3C5;sin valor;sin valor;sin valor;8.89;2355.11;sin valor;2355.11
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;FUENTES AGREGADAS Y FUENTES DE EMISION NO-CO2 EN LA TIERRA;EMISIONES INDIRECTAS DE N2O POR MANEJO DEL ESTIERCOL;EMISIONES INDIRECTAS DE N2O POR MANEJO DEL ESTIERCOL;3C6;sin valor;sin valor;sin valor;0.67;177.95;sin valor;177.95
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;FUENTES AGREGADAS Y FUENTES DE EMISION NO-CO2 EN LA TIERRA;CULTIVO DE ARROZ;CULTIVO DE ARROZ;3C7;sin valor;64.73;1812.47;sin valor;sin valor;sin valor;1812.47
20240521;2016;DESECHOS;ELIMINACION DE DESECHOS SOLIDOS;ELIMINACION DE DESECHOS SOLIDOS;ELIMINACION DE DESECHOS SOLIDOS;4A;sin valor;199.71;5591.83;sin valor;sin valor;sin valor;5591.83
20240521;2016;DESECHOS;TRATAMIENTO BIOLOGICO DE DESECHOS SOLIDOS;TRATAMIENTO BIOLOGICO DE DESECHOS SOLIDOS;TRATAMIENTO BIOLOGICO DE DESECHOS SOLIDOS;4B;sin valor;sin valor;sin valor;sin valor;sin valor;sin valor;sin valor
20240521;2016;DESECHOS;INCINERACION E INCINERACION ABIERTA DE DESECHOS SOLIDOS;INCINERACION ABIERTA DE DESECHOS;INCINERACION ABIERTA DE DESECHOS;4C2;29.19;0.41;11.58;0.01;2.11;sin valor;42.88
20240521;2016;DESECHOS;TRATAMIENTO Y ELIMINACION DE AGUAS RESIDUALES;TRATAMIENTO Y ELIMINACION DE AGUAS RESIDUALES DOMESTICAS;TRATAMIENTO Y ELIMINACION DE AGUAS RESIDUALES DOMESTICAS;4D1;sin valor;96.6;2704.86;1.33;352.74;sin valor;3057.6
20240521;2016;DESECHOS;TRATAMIENTO Y ELIMINACION DE AGUAS RESIDUALES;TRATAMIENTO Y ELIMINACION DE AGUAS RESIDUALES INDUSTRIALES;TRATAMIENTO Y ELIMINACION DE AGUAS RESIDUALES INDUSTRIALES;4D2;sin valor;36.02;1008.57;sin valor;sin valor;sin valor;1008.57
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;INDUSTRIAS DE ENERGIA;PRODUCCION DE ELECTRICIDAD Y CALOR COMO ACTIVIDAD PRINCIPAL;1A1a;8814.3;0.43;12.05;0.06;14.69;sin valor;8841.05
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;INDUSTRIAS DE ENERGIA;REFINACION DE PETROLEO;1A1b;2809.8;0.05;1.4;0;1.32;sin valor;2812.52
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;INDUSTRIAS DE ENERGIA;FABRICACION DE COMBUSTIBLES SOLIDOS Y OTRAS INDUSTRIAS ENERGETICAS;1A1c;2722.12;0.07;1.89;0.01;2.7;sin valor;2726.72
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;INDUSTRIAS MANUFACTURERAS Y DE LA CONSTRUCCION;MINERIA (CON EXCEPCION DE COMBUSTIBLES) Y CANTERIA;1A2i;1275;0.04;1.24;0.01;2.13;sin valor;1278.37
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;INDUSTRIAS MANUFACTURERAS Y DE LA CONSTRUCCION;INDUSTRIA NO ESPECIFICADA;1A2m;7343.85;1.83;51.34;0.22;58.15;sin valor;7453.33
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;TRANSPORTE;AVIACION CIVIL;1A3a;850.88;0.01;0.17;0.02;6.26;sin valor;857.3
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;TRANSPORTE;TRANSPORTE TERRESTRE;1A3b;15543.04;6.53;182.91;0.81;214.26;sin valor;15940.2
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;TRANSPORTE;FERROCARRILES;1A3c;79.44;0;0.12;0.03;8.13;sin valor;87.69
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;TRANSPORTE;NAVEGACION MARITIMA Y FLUVIAL;1A3d;248.11;0.02;0.68;0.01;1.83;sin valor;250.62
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;TRANSPORTE;OTRO TIPO DE TRANSPORTE;1A3e;31.94;0;0.05;0;0.28;sin valor;32.27
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;OTROS SECTORES;COMERCIAL/INSTITUCIONAL;1A4a;1285.62;1.4;39.28;0.02;6.55;sin valor;1331.44
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;OTROS SECTORES;RESIDENCIAL ;1A4b;2225.55;26.84;751.48;0.35;93.48;sin valor;3070.51
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;OTROS SECTORES;AGRICULTURA;1A4c;137.2;0.06;1.81;0;0.41;sin valor;139.42
20240521;2014;ENERGIA ;ACTIVIDADES DE QUEMA DE COMBUSTIBLES ;OTROS SECTORES;PESCA;1A4c;215.52;0.04;1.07;0;0.51;sin valor;217.11
